Name,Park,Land,Minimum height,Samuel,Madeline,Maxwell,MJ,Melissa,Melinda,Nadine,Melody,Sum
Jumpin' Jellyfish,DCA,Pixar Pier,40,1,2,1,1,2,1,1,1,9
Jessie's Critter Carousel,DCA,Pixar Pier,-,-1,-1,1,1,1,1,1,2,5
Astro Orbiter,DL,Tomorrowland,-,1,1,1,1,1,1,1,1,8
Mad Tea Party (teacups),DL,Fantasyland,-,1,4,1,1,2,1,1,1,12
Autopia,DL,Tomorrowland,32/54,2,-1,1,1,2,-1,,2,6
Buzz Lightyear Astro Blasters,DL,Tomorrowland,-,-1,2,1,1,2,1,,2,8
Chip n Dale's Gadget Coaster,DL,Toontown,35,2,2,2,2,1,2,1,1,13
Dumbo the Flying Elephant,DL,Fantasyland,-,-1,1,1,1,1,1,,2,6
Goofy's Sky School,DCA,Pixar Pier,42,2,2,2,2,2,1,1,1,13
Golden Zephyr,DCA,Pixar Pier,-,1,4,1,1,2,1,1,1,12
Inside Out Emotional Whirlwind,DCA,Pixar Pier,-,1,1,-1,1,2,-1,,2,5
Alice in Wonderland,DL,Fantasyland,-,-1,1,1,1,2,1,2,,7
Mark Twain Riverboat,DL,Frontierland,-,4,-1,1,2,1,2,1,1,11
Silly Symphony Swings,DCA,Pixar Pier,40/48,1,4,1,2,2,-1,-1,-1,7
Casey Jr's Circus Train,DL,Fantasyland,-,1,-1,1,1,2,-1,,2,5
Roger Rabbit's CarTOON Spin,DL,Toontown,-,-1,1,1,1,2,1,1,1,7
King Arthur Carrousel,DL,Fantasyland,-,-1,1,-1,1,1,1,,2,4
The Little Mermaid - Ariel's Undersea Adventure,DCA,Pixar Pier,-,-1,2,2,1,2,2,,2,10
The Many Adventures of Winnie the Pooh,DL,Critter Country,-,-1,1,-1,1,2,2,,2,6
Monsters Inc Mike and Sulley to the Rescue,DCA,Hollywood Land,-,-1,1,1,1,2,2,,2,8
Mater's Junkyard Jamboree,DCA,Cars Land,32,1,1,1,2,2,1,,2,10
Luigi's Rollickin Roadsters,DCA,Cars Land,32,1,2,1,1,1,1,,2,9
Davy Crockett's Explorer Canoes,DL,New Orleans Square,-,1,-1,-1,1,4,1,1,1,7
Star Tours,DL,Tomorrowland,40,1,2,2,1,2,4,2,,14
Storybook Land Canal Boats,DL,Fantasyland,-,1,-1,1,1,2,1,,2,7
Finding Nemo Submarine Voyage,DL,Tomorrowland,-,2,1,1,1,1,1,,2,9
Web Slingers: A Spider-Man Adventure,DCA,Avengers Campus,-,-1,1,2,1,1,1,1,1,7
Pixar Pal-A-Round (ferris wheel),DCA,Pixar Pier,-,2,4,1,2,2,1,1,1,14
Pinocchio's Daring Journey,DL,Fantasyland,-,-1,-1,1,1,1,1,1,1,4
Matterhorn Bobsleds,DL,Fantasyland,42,2,4,4,2,1,-1,1,1,14
Snow White's Enchanted Wish,DL,Fantasyland,-,-1,1,1,1,2,1,,2,7
Millennium Falcon Smugglers Run,DL,Galaxy's Edge,38,4,2,4,2,2,2,2,,18
Jungle Cruise,DL,Adventureland,-,-1,1,2,1,1,2,,2,8
Mr. Toad's Wild Ride,DL,Fantasyland,-,-1,-1,1,1,2,1,,2,5
Disneyland Railroad,DL,Multiple,-,1,1,1,1,2,1,,4,11
Grizzly River Run,DCA,Grizzly Peak,42,2,2,-1,2,2,1,-1,-1,6
Toy Story Midway Mania,DCA,Pixar Pier,-,-1,1,2,1,1,1,,2,7
Peter Pan's Flight,DL,Fantasyland,-,-1,1,1,2,2,1,,2,8
Big Thunder Mountain Railroad,DL,Frontierland,40,4,4,4,2,2,4,,2,22
Incredicoaster,DCA,Pixar Pier,48,2,-1,4,2,-1,2,-1,-1,6
It's a Small World,DL,Toontown,-,-1,1,-1,1,4,1,,4,9
Pirates of the Caribbean,DL,New Orleans Square,-,4,4,4,2,2,4,-1,-1,18
Mickey and Minnie's Runaway Railway,DL,Toontown,-,2,2,2,1,2,4,,2,15
Soarin Around the World,DCA,Grizzly Peak,40,4,4,4,2,2,4,1,1,22
Indiana Jones Adventure,DL,Adventureland,46,4,4,4,2,2,4,-1,-1,18
Guardians of the Galaxy,DCA,Avengers Campus,40,2,-1,4,2,1,1,-1,-1,7
Haunted Mansion,DL,New Orleans Square,-,1,4,4,2,2,4,1,1,19
Hyperspace Mountain,DL,Tomorrowland,40,2,2,4,1,1,1,-1,-1,9
Radiator Springs Racers,DCA,Cars Land,40,4,4,1,2,2,4,,4,21
Rise of the Resistance,DL,Galaxy's Edge,40,4,4,4,2,2,4,4,,24
↓↓↓  Not in the video  ↓↓↓,,,,,,,,,,,,0
Disneyland Monorail,DL,Multiple,-,2,-1,2,1,2,1,1,1,9
Tiki Room,DL,Adventureland,-,-1,2,1,1,4,4,,4,15
Tiana's Bayou Adventure,DL,Critter Country,40,1,1,2,1,2,4,,-1,10
